23.3427 	INFO 	Loaded monitor calibration from ['2024_08_08 21:31']
23.5619 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x15c289780>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x15c289720>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x15c289570>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x15c2b3f10>, multiSample=False, name='window1', numSamples=2, pos=[367.5, 239.0], screen=0, size=array([2940, 1912]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
23.5619 	EXP 	window1: backgroundImage = ''
23.5619 	EXP 	window1: backgroundFit = 'none'
23.5621 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x15c2898a0>
23.5622 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x15c2898a0>
23.5646 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x15c2898a0>
23.5650 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x15c2898a0>
23.5976 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x15c2898a0>
23.5976 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x15c2898a0>
23.5980 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x15c2898a0>
23.5983 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x15c2898a0>
23.6079 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
23.6080 	EXP 	window1: recordFrameIntervals = False
23.8071 	EXP 	window1: recordFrameIntervals = True
24.6419 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

24.6421 	EXP 	window1: mouseVisible = True
24.6423 	INFO 	keyboard.Keyboard is using event backend.
24.6423 	INFO 	keyboard.Keyboard is using event backend.
24.6423 	EXP 	emotion_valence_word_recall: status = STARTED
24.6429 	EXP 	window1: mouseVisible = True
