19.1751 	INFO 	Loaded monitor calibration from ['2024_08_08 21:31']
19.3456 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x160a93580>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x160a935e0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x160a93790>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x160af7c10>, multiSample=False, name='window1', numSamples=2, pos=[367.5, 239.0], screen=0, size=array([2940, 1912]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
19.3456 	EXP 	window1: backgroundImage = ''
19.3456 	EXP 	window1: backgroundFit = 'none'
19.3458 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x160a932b0>
19.3459 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x160a932b0>
19.3475 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x160a932b0>
19.3479 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x160a932b0>
19.3742 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x160a932b0>
19.3743 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x160a932b0>
19.3746 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x160a932b0>
19.3749 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x160a932b0>
19.3848 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
19.3849 	EXP 	window1: recordFrameIntervals = False
19.5601 	EXP 	window1: recordFrameIntervals = True
20.3943 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

20.3945 	EXP 	window1: mouseVisible = True
20.3950 	INFO 	keyboard.Keyboard is using event backend.
20.3951 	INFO 	keyboard.Keyboard is using event backend.
20.3952 	EXP 	emotion_valence_word_recall: status = STARTED
20.3964 	EXP 	window1: mouseVisible = True
